MD,DEVI,DTCO,DTSM_FAST,DTSM_SLOW,RHOB_model,GR_Normalized
ft , dega, us/ft , us/ft , us/ft , g/cc ,None
Measured Depth ,Borehole Deviation ,Compressional Slowness ,Fast Shear Slowness ,Slow Shear Slowness ,Bulk density - modeled ,Normalized Gamma Ray  
6570,67.32478,63.86097,101.6422,127.6717,2.437128,0.20619918
6570.5,67.37838,63.85154,102.4929,127.6286,2.444105,0.20212519
6571,67.43198,63.826,103.0605,127.9176,2.447616,0.20580299
6571.5,67.4856,63.79577,103.2933,128.5351,2.447372,0.20642562
6572,67.53922,63.7254,103.5782,129.1467,2.448115,0.21440054
6572.5,67.59284,63.50628,103.9857,129.4753,2.45287,0.21652104
6573,67.64648,63.05627,104.0844,129.4706,2.45981,0.21297614
6573.5,67.70012,62.49071,103.4701,129.2832,2.464062,0.2109105
6574,67.75376,62.14872,102.3407,129.1032,2.461463,0.21176617
6574.5,67.80742,62.373,101.5133,128.9375,2.45261,0.21430211
6575,67.86108,63.25497,101.5444,128.6375,2.441192,0.2172244
6575.5,67.91474,64.54682,102.1565,128.2085,2.429382,0.21410954
6576,67.96841,65.71224,102.9064,127.8513,2.420761,0.20726672
6576.5,68.02209,66.19896,103.8243,127.7099,2.422112,0.20279388
6577,68.07578,65.87946,105.0507,127.871,2.43495,0.20899901
6577.5,68.12947,65.10047,106.3811,128.4401,2.452108,0.2106435
6578,68.18317,64.34034,107.4713,129.302,2.465732,0.21885301
6578.5,68.23688,63.94331,108.1386,130.008,2.472422,0.21366115
6579,68.29059,64.02489,108.469,130.0597,2.47318,0.22064249
6579.5,68.34431,64.50338,108.6452,129.2737,2.470937,0.22111183
6580,68.39803,65.24293,108.5942,127.8986,2.466444,0.22151758
6580.5,68.45177,66.12128,108.1137,126.4178,2.458451,0.22418253
6581,68.50551,66.91615,107.1469,125.3465,2.446969,0.22117427
6581.5,68.55925,67.22217,105.7977,125.0182,2.435343,0.22491978
6582,68.613,66.65459,104.3386,125.3139,2.430422,0.23262772
6582.5,68.66676,65.25189,102.9782,125.8531,2.43601,0.23589526
6583,68.72052,63.63006,101.8009,126.463,2.446532,0.24318232
6583.5,68.77429,62.52939,100.9733,127.1925,2.452838,0.23265763
6584,68.82807,62.19039,100.6622,128.1257,2.451728,0.231759
6584.5,68.88185,62.28877,100.803,129.263,2.44705,0.22789393
6585,68.93564,62.39473,101.0876,130.3015,2.443838,0.23058665
6585.5,68.98943,62.33654,101.1609,130.776,2.443532,0.2255059
6586,69.04324,62.16269,100.7829,130.5498,2.443953,0.21668898
6586.5,69.09705,61.93616,99.84953,129.9216,2.442103,0.21362449
6587,69.15086,61.71987,98.54836,129.3331,2.436574,0.21535379
6587.5,69.20467,61.69874,97.4192,128.9846,2.428042,0.21945618
6588,69.2585,62.09673,97.05274,128.6728,2.41937,0.2206666
6588.5,69.31233,62.89216,97.71926,128.0558,2.415634,0.22050089
6589,69.36617,63.72528,99.16924,127.0414,2.420664,0.2271021
6589.5,69.42001,64.14973,100.7154,125.936,2.432655,0.22785038
6590,69.47386,63.9959,101.6708,125.248,2.445441,0.23324123
6590.5,69.52772,63.47152,101.8307,125.2368,2.453954,0.23151948
6591,69.58158,62.922,101.56,125.7295,2.457551,0.22678004
6591.5,69.63545,62.57488,101.4241,126.4663,2.458503,0.22331987
6592,69.68932,62.48369,101.6868,127.3861,2.458226,0.22213845
6592.5,69.7432,62.61633,102.1465,128.4889,2.455594,0.22094719
6593,69.79709,62.91717,102.4905,129.5837,2.449768,0.22001156
6593.5,69.85098,63.22459,102.6724,130.2258,2.44434,0.21476507
6594,69.90488,63.3292,102.8429,129.9665,2.44511,0.21940948
6594.5,69.95878,63.25873,103.1153,128.7557,2.452691,0.21760356
6595,70.01269,63.32323,103.5329,127.1283,2.461,0.20857625
6595.5,70.0666,63.82728,104.1328,125.933,2.463069,0.20521504
6596,70.12052,64.76422,104.8879,125.8159,2.456522,0.20912106
6596.5,70.17445,65.73385,105.6291,126.897,2.444899,0.21836868
6597,70.22838,66.36354,106.0376,128.821,2.432005,0.2221474
6597.5,70.28232,66.83108,105.8808,131.0542,2.415859,0.2250746
6598,70.33627,67.52064,105.5334,133.0653,2.39588,0.23357044
6598.5,70.39021,68.3023,105.8072,134.3654,2.382239,0.23474538
6599,70.44417,68.60822,106.8814,134.7673,2.385278,0.23905247
6599.5,70.49812,68.11082,107.8945,134.5943,2.400346,0.24045794
6600,70.55209,67.10703,107.8037,134.4351,2.413407,0.2451046
6600.5,70.60606,66.23077,106.4487,134.7198,2.414135,0.24016565
6601,70.66003,65.8354,104.6052,135.5123,2.402355,0.23799896
6601.5,70.69315,65.80208,103.0085,136.4792,2.385551,0.23805149
6602,70.72626,65.87897,101.9062,137.0722,2.371824,0.24301283
6602.5,70.75938,65.9284,101.4383,137.0291,2.366648,0.24293013
6603,70.7925,65.90325,101.6003,136.7287,2.369844,0.24281116
6603.5,70.82562,65.78916,101.9839,136.913,2.3746,0.2378334
6604,70.85874,65.63171,102.1833,137.8478,2.375315,0.24340163
6604.5,70.89186,65.53569,102.2244,138.9113,2.373159,0.24633558
6605,70.92499,65.50517,102.3547,139.2828,2.373477,0.24933021
6605.5,70.95811,65.36605,102.6529,138.7437,2.380458,0.24321182
6606,70.99123,65.06195,102.9794,137.6782,2.392036,0.2406054
6606.5,71.02436,64.9617,103.1648,136.6783,2.39885,0.23983265
6607,71.05749,65.47689,103.158,136.1618,2.392975,0.23798746
6607.5,71.09061,66.3432,102.9464,136.1066,2.378289,0.23951066
6608,71.12375,66.73891,102.5316,136.2092,2.368005,0.23087674
6608.5,71.15688,66.20777,102.0621,136.2715,2.371405,0.22472885
6609,71.19,65.23504,101.7689,136.3475,2.383423,0.21368045
6609.5,71.22314,64.69583,101.6854,136.6101,2.39007,0.21750705
6610,71.25627,64.82848,101.6343,137.1511,2.38546,0.22516187
6610.5,71.2894,65.11097,101.4503,137.8745,2.376469,0.23225692
6611,71.32253,65.0703,101.1611,138.555,2.371703,0.24133967
6611.5,71.35567,64.79293,100.9444,138.9991,2.372407,0.23647173
6612,71.38881,64.64497,100.8852,139.1255,2.37378,0.23084791
6612.5,71.42194,64.72665,100.9782,138.9359,2.374068,0.22903381
6613,71.45508,64.67111,101.2464,138.5404,2.379067,0.23363025
6613.5,71.48822,63.99633,101.5711,138.1849,2.394274,0.23835766
6614,71.52135,62.60993,101.7192,138.147,2.417843,0.23388243
6614.5,71.5545,60.94415,101.7761,138.6355,2.443383,0.2395771
6615,71.58764,59.73985,102.2463,139.7424,2.463026,0.2558691
6615.5,71.62078,59.80203,103.5848,141.2755,2.467282,0.284217
6616,71.65392,61.61227,105.6823,142.8608,2.449206,0.30804887
6616.5,71.68707,64.64622,107.9082,144.3906,2.41508,0.3311735
6617,71.72021,67.36385,109.6054,145.9061,2.383772,0.33747932
6617.5,71.75336,68.64406,110.4331,147.306,2.367533,0.3379738
6618,71.78651,68.84102,110.5198,148.7618,2.360749,0.33415002
6618.5,71.81965,69.02811,110.5612,150.8575,2.351749,0.3317156
6619,71.8528,70.03307,111.6806,154.2121,2.335764,0.3274141
6619.5,71.88595,72.22343,114.7513,159.2286,2.313926,0.33754146
6620,71.9191,75.56853,119.5019,165.8179,2.285816,0.3597122
6620.5,71.95225,79.77061,124.4808,173.0492,2.248219,0.37318677
6621,71.9854,84.15538,128.2379,179.1691,2.204399,0.3718281
6621.5,72.01855,87.67375,130.3959,182.5584,2.168098,0.3663096
6622,72.0517,89.57816,131.5251,182.9129,2.153267,0.3939452
6622.5,72.08485,89.93805,132.31,180.8496,2.162469,0.4327418
6623,72.11801,89.33872,133.0313,176.9902,2.187652,0.47674114
6623.5,72.15117,88.38225,133.6775,171.9144,2.218842,0.5062857
6624,72.18432,87.53465,134.3052,166.3778,2.249088,0.5192428
6624.5,72.21748,87.09129,135.0866,161.3116,2.274166,0.5211605
6625,72.25063,87.06451,135.9978,157.6683,2.291239,0.5244951
6625.5,72.2838,87.36179,136.6346,155.9288,2.297735,0.5310403
6626,72.31696,87.99426,136.4986,155.7092,2.292506,0.5314134
6626.5,72.35011,88.79427,135.5232,156.3247,2.278525,0.53298193
6627,72.38328,89.23371,134.2704,157.6698,2.262884,0.5467662
6627.5,72.41644,88.88271,133.5294,159.9015,2.253582,0.56559485
6628,72.4496,87.92055,133.6688,162.6309,2.25387,0.57341987
6628.5,72.48277,87.03398,134.4328,165.296,2.258132,0.56641334
6629,72.51593,86.81211,135.4271,167.9169,2.257937,0.5640246
6629.5,72.5491,87.24035,136.5681,170.8534,2.251604,0.551303
6630,72.58226,87.81745,137.9296,174.322,2.243791,0.5506644
6630.5,72.61543,88.34904,139.5346,178.5111,2.236129,0.53884304
6631,72.6486,89.45849,141.3976,183.4562,2.222674,0.53107804
6631.5,72.68176,91.61263,143.2531,188.3016,2.199584,0.5123248
6632,72.71494,93.57766,144.1748,191.432,2.177496,0.4986752
6632.5,72.7481,92.86176,143.0507,191.8222,2.176633,0.50232923
6633,72.78127,88.38656,139.431,189.8267,2.205853,0.54830015
6633.5,72.81445,82.10575,133.774,186.6602,2.248879,0.6022598
6634,72.84762,77.04031,127.615,183.5535,2.27928,0.6456546
6634.5,72.88079,74.4472,123.1841,181.2,2.289406,0.6456774
6635,72.91396,74.04588,121.7489,179.6756,2.288217,0.6429666
