MD,DTCO,DTSM_FAST,DTSM_SLOW,RHOB,GR_Normalized
ft,US/F,US/F,US/F,G/C3,None
   6520.5,53.7341,90.8492,90.8492,2.6623,0.09042478
   6521.0,53.8211,90.8335,90.8335,2.6549,0.094460726
   6521.5,54.2592,90.9874,90.9874,2.6444,0.09845298
   6522.0,54.4069,91.2592,91.2592,2.6299,0.10002771
   6522.5,54.6522,91.5311,91.5311,2.633,0.097653024
   6523.0,54.9245,91.7502,91.7502,2.6381,0.09299519
   6523.5,54.7439,91.9344,91.9344,2.6339,0.0907998
   6524.0,54.5042,92.0882,92.0882,2.6268,0.09312352
   6524.5,54.3183,92.1766,92.1766,2.6243,0.09485113
   6525.0,54.0416,92.1931,92.1931,2.63,0.09386731
   6525.5,53.8151,92.1656,92.1656,2.6381,0.09264825
   6526.0,53.7381,92.0734,92.0734,2.6496,0.093109384
   6526.5,53.7768,91.8811,91.8811,2.6542,0.09623284
   6527.0,53.8976,91.6171,91.6171,2.6583,0.1021322
   6527.5,54.1153,91.3908,91.3908,2.6529,0.11104104
   6528.0,54.3738,91.2801,91.2801,2.6486,0.11935189
   6528.5,54.3924,91.1995,91.1995,2.6383,0.12266131
   6529.0,54.3738,91.0434,91.0434,2.6339,0.12026521
   6529.5,54.3714,90.976,90.976,2.6353,0.11483238
   6530.0,54.2762,91.1969,91.1969,2.6349,0.11123697
   6530.5,54.0243,91.4911,91.4911,2.6282,0.1108266
   6531.0,53.8609,91.5602,91.5602,2.6256,0.11198388
   6531.5,53.8609,91.4317,91.4317,2.629,0.11238157
   6532.0,53.8489,91.2855,91.2855,2.6386,0.111166045
   6532.5,53.8068,91.1786,91.1786,2.6373,0.10831943
   6533.0,53.8068,91.1405,91.1405,2.6411,0.1055427
   6533.5,53.4913,91.1834,91.1834,2.6452,0.10570035
   6534.0,53.2847,91.1736,91.1736,2.6569,0.1084956
   6534.5,52.8456,91.2026,91.2026,2.6647,0.111718066
   6535.0,52.7517,91.4785,91.4785,2.6727,0.11363349
   6535.5,53.0131,91.9019,91.9019,2.6675,0.11555724
   6536.0,53.3084,92.3447,92.3447,2.6595,0.119200274
   6536.5,54.1585,92.8344,92.8344,2.6494,0.124205664
   6537.0,55.0502,93.3659,93.3659,2.6524,0.13106951
   6537.5,55.7807,93.8496,93.8496,2.6528,0.1414054
   6538.0,56.4197,94.1973,94.1973,2.6534,0.15497229
   6538.5,56.8,94.3882,94.3882,2.6475,0.16682322
   6539.0,56.884,94.4274,94.4274,2.6417,0.17100559
   6539.5,56.708,94.306,94.306,2.6389,0.16766581
   6540.0,56.3403,94.1179,94.1179,2.646,0.16138852
   6540.5,55.9755,94.0137,94.0137,2.6501,0.15815607
   6541.0,55.9755,93.9913,93.9913,2.6523,0.16209736
   6541.5,56.1377,94.03,94.03,2.6508,0.17244679
   6542.0,56.1954,94.1173,94.1173,2.6453,0.18214788
   6542.5,56.1954,94.1065,94.1065,2.6363,0.1829965
   6543.0,55.6926,93.843,93.843,2.6409,0.1738861
   6543.5,54.5935,93.2474,93.2474,2.6545,0.157582
   6544.0,53.3535,92.4424,92.4424,2.6713,0.13855919
   6544.5,52.4303,91.8066,91.8066,2.6691,0.120713435
   6545.0,52.0347,91.4738,91.4738,2.6663,0.106720366
   6545.5,52.0646,91.2123,91.2123,2.6689,0.09726658
   6546.0,52.2439,90.9335,90.9335,2.6815,0.08979935
   6546.5,52.2193,90.7017,90.7017,2.6978,0.08271524
   6547.0,52.0913,90.6358,90.6358,2.7045,0.07723894
   6547.5,51.843,90.8219,90.8219,2.7051,0.075051464
   6548.0,51.6927,91.1065,91.1065,2.6979,0.075658806
   6548.5,51.7793,91.3043,91.3043,2.6992,0.07748874
   6549.0,52.098,91.4199,91.4199,2.6957,0.081843115
   6549.5,52.6838,91.5273,91.5273,2.6973,0.092861034
   6550.0,53.0993,91.6563,91.6563,2.6903,0.11304029
   6550.5,53.448,91.8013,91.8013,2.6831,0.13713402
   6551.0,53.6541,91.9232,91.9232,2.6779,0.15397516
   6551.5,53.693,91.9939,91.9939,2.6697,0.16021647
   6552.0,53.6043,92.0325,92.0325,2.6703,0.16085501
   6552.5,53.2951,92.0706,92.0706,2.6725,0.16100748
